Title,Link,Date
Thousands of Black children with sickle cell disease struggle to access benefits,https://www.cbsnews.com/news/sickle-cell-disease-children-social-security-ssi-disability/,2023-12-26
"Teen's death in sawmill highlights ""21st century problem"" across U.S.",https://www.cbsnews.com/news/child-labor-laws-wisconsin-sawmill-florence-hardwoods/,2023-12-26
"Kamar de los Reyes, ""One Life to Live"" actor, dies at 56",https://www.cbsnews.com/news/kamar-de-los-reyes-one-life-to-live-actor-dies-age-56/,2023-12-26
Taylor Swift spends Christmas cheering for Travis Kelce at Chiefs game,https://www.cbsnews.com/news/taylor-swift-christmas-cheering-travis-kelce-chiefs-game-kansas-city/,2023-12-26
What happens to the billions in gift cards that go unspent every year?,https://www.cbsnews.com/news/gift-cards-unspent-christmas-2023/,2023-12-26
"Southwest cancels hundreds of flights, disrupting some holiday travelers",https://www.cbsnews.com/news/southwest-flights-canceled-airlines/,2023-12-26
Here are the stores and restaurants open on Christmas Day,https://www.cbsnews.com/news/whats-open-christmas-day-2023/,2023-12-26
Police seek SUV driver they say fled after crash killed 2 young brothers,https://www.cbsnews.com/news/hit-and-run-suv-driver-fled-crash-killed-2-young-brothers-antioch-calif/,2023-12-26
"1 dead, 2 seriously injured in Colorado mall shooting, police say",https://www.cbsnews.com/news/citadel-mall-shooting-colorado-springs-christmas-eve/,2023-12-26
"Florida police search for mall shooter, ask public for help finding suspect",https://www.cbsnews.com/news/florida-police-search-for-ocala-mall-shooter-suspect-albert-j-shell-jr/,2023-12-26
Unaccompanied 6-year-old boy put on wrong Spirit Airlines flight,https://www.cbsnews.com/news/spirit-airlines-unaccompanied-child-wrong-flight-fort-myers-orlando-florida-maria-ramos/,2023-12-26
"1 dead, several hurt after Texas house explosion",https://www.cbsnews.com/news/1-dead-several-hurt-rogers-texas-house-explosion/,2023-12-26
"When and where to see the Cold Moon, the longest and last full moon of 2023",https://www.cbsnews.com/news/when-and-where-to-see-the-cold-moon-the-longest-and-last-full-moon-of-2023/,2023-12-26
The 12 Days of Trump Court: From unprecedented to almost routine,https://www.cbsnews.com/news/12-days-of-trump-court-appearances-2023/,2023-12-26
Prosecutors seek summer 2024 trial for Idaho college murders suspect,https://www.cbsnews.com/news/idaho-college-murders-bryan-kohberger-trial-summer-2024/,2023-12-26
Where is Santa right now? Use NORAD's tracker to map his Christmas flight,https://www.cbsnews.com/news/where-is-santa-right-now-norad-tracker/,2023-12-26
Migrants cross U.S. border in record numbers,https://www.cbsnews.com/news/record-number-migrant-border-crossings-december-2023/,2023-12-26
Trump's lawyers ask appeals court to rule on immunity in late-night filing,https://www.cbsnews.com/news/trump-appeals-court-filing-immunity/,2023-12-26
"People share what's giving the holidays, 2024 meaning",https://www.cbsnews.com/news/holiday-hopes-traditions-for-christmas-hanukkah-2024/,2023-12-26
What's open on Christmas Eve? See the hours for top retailers.,https://www.cbsnews.com/news/whats-open-christmas-eve-2023/,2023-12-26
A Georgia nonprofit is on a mission to give building materials new life,https://www.cbsnews.com/news/georgia-nonprofit-building-materials-new-life-salvage-deconstruct-repurpose-savannah/,2023-12-26
"Could suspected murder victim, back from the dead, be an impostor?",https://www.cbsnews.com/news/mary-day-suspected-murder-victim-back-dead-dna-48-hours/,2023-12-26
"Man killed in shooting in Florida mall, police say",https://www.cbsnews.com/news/shooting-ocala-florida-paddock-mall/,2023-12-26
Founding Dixie Chicks member Laura Lynch killed in car crash in Texas,https://www.cbsnews.com/news/founding-dixie-chicks-member-laura-lynch-killed-in-car-crash-in-texas/,2023-12-26
Alabama woman with double uterus gives birth to twins on different days,https://www.cbsnews.com/news/alabama-woman-with-rare-double-uterus-gives-birth-to-twin-girls-kelsey-hatcher/,2023-12-26
"How to make the holidays about giving, not getting",https://www.cbsnews.com/news/buy-less-donate-more-during-the-holiday-season/,2023-12-26
Texas man sentenced to 3 years in prison for smuggling cocaine in cheese,https://www.cbsnews.com/news/texas-man-sentenced-three-years-in-prison-for-smuggling-cocaine-in-cheese-aaron-balderrama/,2023-12-26
"Israeli airstrikes in expanded offensive kill at least 90, officials say",https://www.cbsnews.com/news/israel-hamas-war-gaza-airstrikes-southern-offensive/,2023-12-26
Here's how NORAD tracks Santa on his Christmas travels,https://www.cbsnews.com/news/norad-tracks-santa-on-his-christmas-travels-heres-how-it-comes-together/,2023-12-26
