Title,Link,Contents,Date,Summarized
B-1 bomber crashes while trying to land at its base in South Dakota,https://www.cbsnews.com/news/b-1-bomber-crash-landing-ellsworth-air-force-base-south-dakota-crew-ejected/,"Washington — A B-1 Lancer bomber from Ellsworth Air Force Base in South Dakota crashed Thursday, and all four of its crew members ejected, the Air Force said. The B-1 crashed ""at approximately 5:50 p.m. today while attempting to land on the installation. At the time of the accident, it was on a training mission. There were four aircrew on board. All four ejected safely,"" the 28th Bomb Wing at Ellsworth said in a statement. At the time of the crash, visibility was poor with freezing temperatures and low clouds, according to automated weather reporting equipment recording airfield conditions.  The B-1 is a conventional supersonic bomber that first came into service in the 1980s. It's been used to support the U.S. bomber presence in the Asia-Pacific region and to conduct close air support missions in U.S. operations in Afghanistan. It doesn't carry nuclear weapons.  While 100 were originally built, fewer than 60 remain in service, at Dyess Air Force Base in Texas and Ellsworth Air Force Base. ",2024-01-05,"The B-1 crashed while attempting to land at Ellsworth Air Force Base in South Dakota. All four aircrew on board ejected safely, the Air Force says. The conventional supersonic bomber first came into service in the 1980s. It doesn't carry nuclear weapons."
"Sweethearts makes ""Situationship"" conversation hearts for Valentine's Day",https://www.cbsnews.com/news/sweethearts-valentines-conversation-heart-candy-modern-day-situationships/,"If you're not in a relationship, but you're not single, Sweethearts candy is giving you a delicious opportunity to celebrate Valentine's Day with that hard-to-define companion. Spangler, the company behind the beloved conversation hearts with romantic phrases like ""Love You"" and ""Be Mine,"" said in a news release that it's putting a twist on its sweet treats, misprinting those lovey-dovey lines for ""messages as blurry as your relationship."" ""Singles are taking 'situationships' to the next level this year, and Sweethearts is here for them,"" said Evan Brock, vice president of marketing for Spangler. ""The printing on Sweethearts isn't always perfect. This is our way of embracing those imperfections in a way that taps into pop culture."" The delicacies are targeted at Gen-Z situationships, the company said, which include any relationships without exclusivity, boundaries or labels. Cleveland Clinic psychologist Susan Albers-Bowling says situationship ""is a romantic or sexual relationship that hasn't been formalized. ... There are elements of friendship and romance, but they exist without defining the relationship. So, essentially, you have many of the benefits of a traditional relationship without having to make a commitment."" So if that sounds like you, you may just have the perfect Valentine's Day gift for that kinda special person. The Sweethearts Situationships will be available to buy online starting on Jan. 8. Simrin Singh is a social media producer and trending content writer for CBS News.",2024-01-05,"Spangler's Sweethearts are misprinting ""messages as blurry as your relationship"" The sweet treats are targeted at Gen-Z situationships, the company says."
"As gun violence increases, active shooter defense industry booms",https://www.cbsnews.com/news/active-shooter-defense-industry-safedefend/,"A 6th grader was killed and five others were injured in a shooting at Perry High School in Perry, Iowa, on Thursday. American schools are expected to spend $3.5 billion on security this year, according to the research firm Omdia, part of a growing trend in spending on defense against active shooters. Greg Vecchi, director of research and training at SafeDefend, says the company's technology can help people survive a shooting at schools and workplaces. ""Think of it as the fire alarm for active killers,"" he told CBS News. In 2014, a gunman opened fire in the parking lot of a Jewish Community Center in Overland Park, Kansas, killing a man, his grandson and a third person who was nearby. ""To come in the building and see bullet holes, glass shattered, definitely an immediate loss of security,"" said Sandra Greason, an employee at the center. Since then, the center has installed license plate readers, more cameras, armed guards, metal detectors, and now, SafeDefend devices. The technology was created by Jeff Green, who left his job as an elementary school principal to work on it. ""No matter how much law enforcement wants to be there, there's a gap,"" Green said. ""There's a time when we're on our own. And how do we survive until help arrives?"" Greason told CBS the center's new safety measures, which also include active shooter training, make her feel more secure. ""Preparedness is key, right? The more you're prepared, the better you feel and the more confident you feel,"" she said. SafeDefend is just one part of what's become a booming industry aimed at protecting kids and employees from a rapid rise in mass shootings. Products range from gun detectors guided by artificial intelligence to bulletproof tables and automatically locking doors. Odis Johnson Jr., executive director at Johns Hopkins Center for Safe and Healthy Schools, is skeptical these products are the answer to gun violence. ""We've seen year-over-year increases in death and injury,"" he said. ""We really do need a more comprehensive approach that includes gun safety and stiffer regulations for gun ownership,"" Johnson added.",2024-01-05,"American schools are expected to spend $3.5 billion on security this year. ""To come in the building and see bullet holes, glass shattered, definitely an immediate loss of security,"" an employee says."
Alaska's snow crab season canceled for second year in a row,https://www.cbsnews.com/news/alaska-snow-crab-season-canceled-2024/,"Gabriel Prout is grateful for a modest haul of king crab, but it's the vanishing of another crustacean variety that has the fishing port in Kodiak, Alaska, bracing for financial fallout; for the second year in a row, the lucrative snow crab seasonhas been canceled. ""We're still definitely in survival mode trying to find a way to stay in business,"" he told CBS News. When the season was canceled last year, there was a sense of confusion among the Alaska crab fisher community. Now, a sense of panic is taking hold in the state's fisheries, which produce 60% of the nation's seafood. ""It's just still extremely difficult to fathom how we could go from a healthy population in the Bering Sea to two closures in a row,"" Prout said. And while he is barely holding on, others — like Joshua Songstad — have lost almost everything. ""All of a sudden, now I'm at home with no income and really not much to do,"" Songstad said. The crisis first began in early 2022, after biologists discovered an estimated 10 billion crabs disappeared — a 90% plunge in the population. ""The first reaction was, is this real? You know, we looked at it and it was almost a flat line,"" said Ben Daly, a research coordinator with the Alaska Department of Fish and Game. A recent survey of the species showed little sign of a rebound. ""Environmental conditions are changing rapidly,"" Daly told CBS News last year when the snow crab season was canceled for the first time ever. ""We've seen warm conditions in the Bering Sea the last couple of years, and we're seeing a response in a cold-adapted species, so it's pretty obvious this is connected. It is a canary in a coal mine for other species that need cold water.""   According to new research from the National Oceanic and Atmospheric Administration, a marine heat wave linked to climate change impacted the snow crabs' food supply and drove them to starvation. Biologists hope this second round of suspensions will give the remaining snow crab population time to bulk back up. But with the climate threat only growing, there's concern the snow crabs, along with the industry that depends on them, will continue to shrink. ""I'm a fourth-generation fisherman,"" Songstad said. ""I would like to say that this is gonna be here for my kids, but the reality is we're a dying breed and if we keep going the way we're going, there's not going to be any of us left."" Jonathan Vigliotti is a CBS News correspondent based in Los Angeles. He previously served as a foreign correspondent for the network's London bureau.",2024-01-05,"""We're still definitely in survival mode trying to find a way to stay in business,"" fisherman says. Biologists hope this second round of suspensions will give the remaining snow crab population time to bulk back up. Alaska produces 60% of the nation's seafood."
New Microsoft PC button will be its 1st major keyboard change in decades,https://www.cbsnews.com/news/microsoft-adding-copilot-pc-button-keyboard-change-ai/,"Microsoft is adding an artificial intelligence button to its Windows keyboards in a move that marks the company's first significant keyboard change in nearly three decades. The button — called the Copilot key — will launch Microsoft's AI chatbot, the company's executive vice president Yusuf Mehdi wrote in the Thursday announcement. He said Microsoft sees the key addition as ""the entry point into the world of AI on the PC."" ""We believe it will empower people to participate in the AI transformation more easily,"" Mehdi wrote. Copilot, announced in March of last year, integrates AI into Microsoft's software. The tool is integrated with Microsoft 365 and works alongside Word, Excel, PowerPoint, Outlook and Teams. Users can currently access it with the keyboard shortcut Windows + C. Mehdi wrote that the additional key will move the technology world closer to a future where AI is ""seamlessly"" woven into Windows, from the system to the hardware. ""This will not only simplify people's computing experience but also amplify it, making 2024 the year of the AI PC,"" Mehdi wrote. Starting this month, some new PCs running Windows 11 will have the Copilot keyboard button. The key will also be included on some upcoming Surface devices. Microsoft did not specify which computer manufacturers would be adding the button, only saying the key would be on ""many of the new Windows 11 PCs from our ecosystem partners."" Dell Technologies on Thursday said the Copilot key would be on its newest XPS laptops. If Copilot is not available or enabled on the device, pressing the key will launch Windows' search function instead. Microsoft compared the new button to the Windows key, which was introduced nearly 30 years ago. The new button, featuring the Copilot logo, will be located near the keyboard's space bar. The QWERTY layout, which comprises the bulk of the modern keyboard, was developed in the 1870s. Aliza Chasan is a digital producer at 60 Minutes and CBSNews.com. She has previously written for outlets including PIX11 News, The New York Daily News, Inside Edition and DNAinfo. Aliza covers trending news, often focusing on crime and politics.",2024-01-05,"Microsoft is adding an artificial intelligence button to its Windows keyboards. Starting this month, some new PCs running Windows 11 will have the Copilot keyboard button. Copilot, announced in March of last year, integrates AI into Microsoft's software."
NYC train collision causes subway derailment; 24 injured,https://www.cbsnews.com/news/incident-near-96th-street-disrupts-subway-service-on-123-lines-mta-says/,"NEW YORK -- Asubwaycollision caused two trains to derail Thursday afternoon in Manhattan, the MTA said. The accident happened at around 3 p.m. near 96th Street and Broadway on the Upper West Side. The FDNY said 24 people suffered non-life threatening injuries.   Both subways were 1 trains, NYC Transit President Richard Davey said. One of the trains had 300 passengers on board at the time of the crash. The other was out of service after having been vandalized, officials said. The NYPD said two transit K-9 officers assigned to the station were alerted by a good Samaritan when the collision first happened. ""They rendered aid, again requested ems to respond to the scene, and then those officers, along with additional officers, that responded helped people off the trains and onto the platforms to safety,"" NYPD Chief of Transit Michael Kemper said. The FDNY tweeted images showing one of the trains as emergency crews rushed in. What passengers saw as they exited the train left them speechless. ""The floors were all crunched up. The seats were really bad. They didn't even look like seats no more. The poles were all bent,"" one said. Officials said the impact injured two dozen people. ""I hit my head against the window. People were getting hurt, basically,"" a passenger said. ""Fortunately, nobody was seriously injured. The injuries that were sustained were consistent with a low-speed train derailment,"" FDNY Deputy Chief Ian Swords said. ""The trains, literally, at slow speed, thankfully, bumped into each other just north of the station. We were able to evacuate a number of our customers,"" Davey said. ""Thankfully, there were no serious injuries. Obviously, two trains should not be bumping into one another. We're going to get to the bottom of that. What we do know is that the out-of-service train had been vandalized. A number of emergency cords had been pulled earlier by someone. They were able to reset all of them except one, and that was the reason why that train was still stuck in the station."" ""The train started shaking, shaking, shaking, shaking, very hard,"" one passenger said. ""Everyone was scared, screaming. There was a lot of children. Everyone was trying to call 911."" ""All of a sudden, we just felt, like, a loud boom. Everybody on the train kind of, like, swayed back and forth crazily, and there was a loud explosion. And all of the sudden, the train stopped, kind of, smoke was coming into the car. It was insane. It was super nerve-wracking,"" a passenger said. ""I thought the concrete on top of the train was going to fall in. I thought the subway was going to fall in on us,"" commuter Gregory King added. Emergency responders requested the MTA switch the power off, and then they were able to evacuate the train that had passengers on it. Davey said the out-of-service train was being operated from the middle of the train, from the conductor position, although there was a train operator at the front of the train and two other employees on board as well. ""At the end of the day, thankfully, this was low speed. We'll get to the bottom of this, and make sure that whatever occurred doesn't happen again,"" Davey said. Transit officials said it will take some time before service is back up and running. A lot of work needs to be done during the overnight hours. ""We have crews down there now, I expect will be out there all night. And my hope is we will have service restored tomorrow for rush hour. But I cannot guarantee that,"" Davey said. There was partial service Thursday night following suspensions on the 1, 2 and 3 lines, and changes to some 4 and 5 trains. ""I might have to walk a few blocks up and to Columbus Circle and see. Maybe I can catch another train there,"" said Hadi Soussi of Long Island City. Passengers on their way home from work, school, or simply running errands had no idea they would be dealing with this level of subway disruptions. A trip to the doctor cost Jerry Stevens a pretty penny. ""I had to catch a yellow cab that cost me $60 to get there. Now I gotta go to Queens to get my medicine,"" Stevens said. ""It happens. It's life. It's something you gotta go through living in New York City,"" added Shawn Reid of Pelham Parkway. Some commuters were already planning ahead. ""Tomorrow, I'm gonna take the bus because definitely I can't do the train,"" said Cristina Garcia of the Upper West Side. An MTA press briefing is planned for 8:30 a.m. on Friday to discuss derailment and service changes. In the meantime, customers are being asked to check the MTA website or the MTA app for updates.",2024-01-05,"""I thought the concrete on top of the train was going to fall in. People were getting hurt, basically,"" a passenger said. Transit officials said it will take some time before service is back up and running."
Terminally ill Connecticut woman ends her life in Vermont,https://www.cbsnews.com/news/lynda-bluestein-terminally-ill-connecticut-woman-ends-life-vermont/,"A Connecticut woman who pushed for expanded access to Vermont's lawthat allows people who are terminally ill to receive lethal medication to end their lives died in Vermont on Thursday, an event her husband called ""comfortable and peaceful,"" just like she wanted. Lynda Bluestein, who had terminal cancer, ended her life by taking prescribed medication. Her last words were 'I'm so happy I don't have to do this (suffer) anymore,'"" her husband Paul wrote in an email on Thursday to the group Compassion & Choices, which was shared with The Associated Press. The organization filed a lawsuit against Vermont in 2022 on behalf of Bluestein, of Bridgeport, Connecticut, and Diana Barnard, a physician from Middlebury. The suit claimed Vermont's residency requirement in its so-called patient choice and control at end-of-life law violated the U.S. Constitution's commerce, equal protection, and privileges and immunities clauses. The state agreed to a settlement last March that allowed Bluestein, who is not a Vermont resident, to use the law to die in Vermont. And two months later, Vermont made such accommodations available to anyone in similar circumstances, becoming the first state in the country to change its law to allow terminally ill people from out of state to take advantage of it to end their lives. Ten states allow medically assisted suicide but before Vermont changed its law only one state - Oregon - allowed non-residents to do it, by not enforcing the residency requirement as part of a court settlement. Oregon went on to remove that requirement this past summer. Vermont's law, in effect since 2013, allows physicians to prescribe lethal medication to people with an incurable illness that is expected to kill them within six months. Supporters say the law has stringent safeguards, including a requirement that those who seek to use it be capable of making and communicating their healthcare decision to a physician. Patients are required to make two requests orally to the physician over a certain timeframe and then submit a written request, signed in the presence of two or more witnesses who aren't interested parties. The witnesses must sign and affirm that patients appeared to understand the nature of the document and were free from duress or undue influence at the time. Others express moral opposition to assisted suicide and say there are no safeguards to protect vulnerable patients from coercion. Bluestein, a lifelong activist, who pushed for similar legislation to be passed in Connecticut and New York, which has not happened, wanted to make sure she didn't die like her mother, in a hospital bed after a prolonged illness. She told The Associated Press last year that she wanted to die surrounded by her husband, children, grandchildren, wonderful neighbors, friends and dog. ""I wanted to have a death that was meaningful, but that it didn't take forever ... for me to die,"" she said. ""I want to live the way I always have, and I want my death to be in keeping with the way I wanted my life to be always,"" Bluestein said. ""I wanted to have agency over when cancer had taken so much for me that I could no longer bear it. That's my choice."" If you or someone you know is in emotional distress or a suicidal crisis, you can reach the988 Suicide & Crisis Lifelineby calling or texting 988. You can alsochat with the 988 Suicide & Crisis Lifeline here. For more information aboutmental health care resources and support, The National Alliance on Mental Illness (NAMI) HelpLine can be reached Monday through Friday, 10 a.m.–10 p.m. ET, at 1-800-950-NAMI (6264), by texting ""HelpLine"" to 62640, or by emailinghelpline@nami.org.",2024-01-05,"Vermont became the first state in the country to allow terminally ill people from out of state to take advantage of its law. ""I wanted to have a death that was meaningful, but that it didn't take forever ... for me to die,"" she said."
Peloton shares jump as it partners with TikTok on fitness content,https://www.cbsnews.com/news/tiktok-peloton-fitness-app/,"Peloton Interactive and TikTok are teaming to develop fitness content, the exercise equipment maker and social platform said Thursday. The partnership marks the first time that Peloton will produce custom social content for use outside its own network, according to to the New York company and China's TikTok said. The co-branded hub, which will be available in Canada, the U.S. and the U.K., will show dedicated Peloton content, including live classes and celebrity collaborations. The deal comes six months into a rebranding effort by Peloton, which last year launched a tiered pricing strategy for its app as it tries to broaden its audience beyond customers willing and able to buy its costly fitness equipment. Peloton's stock price leapt more than 15% following the announcement and closed 14% higher at $6.13 per share. Still, the company's standing on Wall Street is a far cry from 2020, when its shares hit more than $160, taking a precipitous drop since then and tanking more than 20% in the last year alone. Peloton enjoyed strong consumer demand for its stationary bikes and treadmills during the pandemic, but that appetite dissipated as the virus faded and people returned to the gym or took up other hobbies. China's TikTok has more than 1 billion active users around the globe, with thousands of communities devoted to fitness activities, according to the companies. Kate Gibson is a reporter for CBS MoneyWatch in New York.",2024-01-05,"Peloton Interactive and TikTok are teaming to develop fitness content. The deal comes six months into a rebranding effort by Peloton. The co-branded hub will show dedicated Peloton content, including live classes and celebrity collaborations."
TGI Fridays closing 36 restaurants across the U.S. Here's where they are.,https://www.cbsnews.com/news/tgi-fridays-closing-locations-us/,"Residents of cities in 12 states across the U.S. will have to celebrate the start of the weekend someplace other than TGI Fridays. Casual restaurant chain TGI Fridays is closing 36 ""underperforming"" locations across the U.S. as part of a corporate growth strategy, the company said in astatementWednesday. The privately owned company will also sell eight corporate-owned restaurants to TGI Fridays' former CEO Ray Blanchette, who had served as chief executive until last year, the company said. Some employees at affected restaurants will have the opportunity to move to roles at other locations. The chain said more than 1,000 workers, or more than 80% of employees working at restaurants that are closing, will be offered transfer opportunities. Roughly 1,250 workers will be affected by the restaurant closures, which are concentrated in Massachusetts, New Jersey, New York, Texas and Virginia. ""Our top priority has always been delivering a superior experience for each and every TGI Fridays guest, and we've identified opportunities to optimize and streamline our operations to ensure we are best positioned to meet – and exceed – on that brand promise,"" Ray Risley, U.S. President and Chief Operating Officer at TGI Fridays said in a statement. ""By strengthening our franchise model and closing underperforming stores, we are creating an unprecedented opportunity for Fridays to drive forward its vision for the future."" The sudden move follows a recent corporate shake-up at the casual bar and grill chain, including the appointment of Weldon Spangler to CEO following Blanchette's departure in May. Below is a list provided by the company to CBS MoneyWatch detailing all the TGI Fridays locations where restaurants will close: Megan Cerullo is a New York-based reporter for CBS MoneyWatch covering small business, workplace, health care, consumer spending and personal finance topics. She regularly appears on CBS News streaming to discuss her reporting.",2024-01-05,"TGI Fridays is closing 36 ""underperforming"" locations across the U.S. Roughly 1,250 workers will be affected by the restaurant closures. The sudden move follows a recent corporate shake-up at the casual bar and grill chain."
How much money do college and university presidents make?,https://www.cbsnews.com/news/how-much-do-university-presidents-make/,"College and university presidents hold some of the loftiest positions in academia, with lofty salaries to match. While many were previously employed as scholars and professors, in their role as leader of a university they are more akin to a CEO overseeing a company than to academics pursuing scholarly research or lecturing. A big part of the job often includes networking and fundraising, in addition to setting academic policies and defining the curriculum. In addition to demonstrated leadership, financial and business acumen are often cited as required characteristics of a college president. FormerHarvard University President Claudine Gay, who announced her resignation after hercontroversial testimonyat a Capitol Hill hearing on antisemitism on college campuses, and amid allegations of plagiarism, will continue to serve as a member of the university's faculty. Prior to serving as university president, Gay earned a salary of nearly $880,000 in her last year as Dean of Harvard's Faculty of Arts and Sciences, a position she held from 2018 to 2021, according to theHarvard Crimson. It's unclear how much Gay will earn in her downsized role at Harvard, or how much she'll be compensated for her six months in the role of president.  Gay's predecessor as president of Harvard, Lawrence S. Bacow, earned more than $1.3 million in 2021, according to the student newspaper. Harvard did not immediately respond to CBS MoneyWatch's request for information about Gay's compensation. The most selective schools in the U.S. don't necessarily pay their presidents the most. The president of Thomas Jefferson University was the best-paid private college president in the country, making a total of more than $8.4 million in 2020, according to The Chronicle of Higher Education. Both his base pay and total compensation exceed that of other private college presidents. The outlet compiled the list based on the Internal Revenue Service's Form 990 for tax-exempt organizations. A university president's total compensation reflects their base pay, bonus, health and other benefits, as well as any other compensation, which can include housing expenses, club dues and more. With an acceptance rate of 87%, Thomas Jefferson University is ranked No. 142 in the ""National Universities"" category by U.S. News and World Report. By contrast, Christopher Eisgruber, president of No. 1 ranked Princeton University, makes just over $1 million a year. These were the top-earning private college presidents in 2020, along with their annual comp, according to The Chronicle of Higher Education: Amy Gutmann, president of the University of Pennsylvania, was the highest-paid president of an Ivy League school, earning $2.6 million annually. In 2022, the top-earning public college presidents included: Not all college presidencies are as lucrative. Nationwide, university presidents earn an average of $186,961 annually, according to ZipRecruiter, an online employment marketplace. Other university president roles advertise pay as low as $32,274, according to the site. Other, less prestigious colleges and universities are also conducting searches for new presidents. On the online job board Indeed, Marwood University, a private Catholic university in Scranton, Pennsylvania, is recruiting a president, with base pay for the position starting at $325,000 a year. Megan Cerullo is a New York-based reporter for CBS MoneyWatch covering small business, workplace, health care, consumer spending and personal finance topics. She regularly appears on CBS News streaming to discuss her reporting.",2024-01-05,"The president of Thomas Jefferson University was the best-paid private college president in the country. Other university president roles advertise pay as low as $32,274, according to the site."
